Nº Contrato	Objeto	Função de Governo	Endereço da Obra (completo) 	"Valor Total Contratado 
(Inicial + Aditivos)"	Nome da(s) Empresa(s) Contratada(s)	"Data de Início da Obra
 (Ordem de Serviço)"	"Nível de Execução Física 
(% de medição) até 31/03/2026"	Valor Total Liquidado até 31/03/2026	Data Prevista para Conclusão	Situação da Obra	Motivo da Paralisação da Obra	"Data da Paralisação
 (Ordem de Paralisação)"	Responsável pela Inexecução da Obra	Data Prevista para o reinício da obra 	"A obra foi licitada sob a égide da Nova Lei de Licitações e Contratos (NLLC) - lei nº 14133/2021? Em caso afirmativo: 
a) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos e os preços unitários e totais contratados até 25 dias úteis após a assinatura  do contrato de obras? (Art. 94 parágrafo 3º);
b) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos executados e os preços praticados até 45 dias úteis após a conclusão do contrato de obras? (Art.94 parágrafo 3º)."	Gestor do Contrato	Fiscal do Contrato	Observações	Secretaria		
084/2023	Execução das obras de construção do viaduto Estaiado Piraporinha e recapeamento da Av. Robert Kennedy.	Transporte	Viaduto Estaiado Piraporinha e Recapeamento da Avenida Robert Kennedy.	R$ 206.167.379,98	Consórcio Interliga.	29/06/2023	100%	R$ 194.338.833,51	29/12/2025	Concluída					Não 	Francisco José Carone Garcia	Eduardo Leandro Vertematti	Aguardando recebimento definitivo.	STMI		
114/2023	Ampliação E Requalificação da Estrada dos Alvarengas - PROSABS/CAF.	Transporte	Estrada dos Alvarengas - Bairro dos Alvarengas.	R$ 122.908.609,72	Consórcio Reviver Alvarenga.	02/08/2023	40%	R$ 49.032.668,04	12/05/2027	Em Andamento					Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
137/2023	Contrato para execução de serviços de Pavimentação, Sinalização, Urbanização e Obras da Sabesp com Implantação de obras lineares de rede de esgoto, ligações de ramais, linhas de recalque conduto forçado da Sabesp (material e mão de obra nas Vias do Bairro Dos Alvarengas (Pós Imigrantes), nos trechos denominados como Lote- 1. - Infraestrutura Orquídeas (A1),localizado no Município De São Bernardo Do Campo - PROSABS/CAF.	Transporte	Ruas: E, Edson Roberto Vismara, Florestan Fernandes, Herbert de Souza, Irmã Dulce,José Cola Grossi, Lucidalva da Silva, Luiz Lua Gonzaga, Luzia as Costa Batista, Luzia Francelina Cimas, Nelson Pizsolito, Nilson de Souza, Nossa Senhora de Guadalupe,a Padre Damião Calixro Trajano, PaFreire, Rita Mendes de Oliveira, São José Operario, Sebastião Milton da Silva, Sebastião Pacheco, Sheila de Melo Sobral, Teresa Barbosa de Oliveira, Rua Tom Jobim, Vânia Silva Santos e Ninicius de Mora.	R$ 38.831.141,69	Consórcio FBS/CCL.	29/09/2023	83%	R$ 34.376.200,04	26/03/2025	Paralisada	Considerando a existência de fatores que impactam diretamente a execução dos serviços, destacamos: * A necessidade de adequações ou requalificação viária, com prazo estimado para a cura do pavimento asfáltico, a fim de viabilizar a posterior execução das sinalizações horizontais da via. * A interferência de serviços de saneamento básico, incluindo as dificuldades na execução da rede de esgoto ao longo das vias e em faixas lindeiras aos imóveis, especialmente quando demandam a realização de serviços manuais em áreas de fundos se imóveis situados em faixas não edificáveis. Desta forma faz-se necessária a suspensão das obras para resguardar o interesse público e viabilizar a adoção das medidas indispensáveis à regularização das condições para a retomada dos serviços.	24/03/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
138/2023	Contrato para execução de serviços de Pavimentação, Sinalização, Urbanização e Obras da Sabesp com Implantação de obras lineares de rede de esgoto, ligações de ramais, linhas de recalque conduto forçado da Sabesp (material e mão de obra nas Vias do Bairro dos Alvarengas (Pós Imigrantes), nos trechos denominados como Lote- 2. - Infraestrutura Las Palmas (A2) E Pinheiro (E), localizado No Município de São Bernardo do Campo PROSABS/CAF.	Transporte	Ruas:Elizaberth Lobo Garcia,Josué de Castro, Braz Cubas, Capitão Carlos Lamarca, Coronel Bonifacio Carvalho, Dep. CarlosLamarca, Diamante, dos Caçadores, dos Navegantes, dos Veleiros, Gregorio de Matos, guanamby, guarape, margarida Maria Alves, Maria da Penha, Nora Astorga, Pescador, São Cristovão, São Simão, sebastiana Regaccini Simão, SEbastião Rodrigues, Silvio de Lima, Xapuri, Guatemala, Montemor,. Vitória, das paineiras, dos Cocais, dos educandarios, dos ingazeiros, dos Jatobas, dos Jequitibas, dos Pinhais, Ipê Amarelo, Pau Brasil e Tupinambas.	R$ 25.758.793,43	TMK Engenharia S.A.	29/09/2023	87%	R$ 23.786.146,22	29/03/2025	Paralisada	Considerando a existência de fatores que impactam diretamente a execução dos serviços, destacamos: * A necessidade de adequações ou requalificação viária, com prazo estimado para a cura do pavimento asfáltico, a fim de viabilizar a posterior execução das sinalizações horizontais da via. * A interferência de serviços de saneamento básico, incluindo as dificuldades na execução da rede de esgoto ao longo das vias e em faixas lindeiras aos imóveis, especialmente quando demandam a realização de serviços manuais em áreas de fundos se imóveis situados em faixas não edificáveis. Desta forma faz-se necessária a suspensão das obras para resguardar o interesse público e viabilizar a adoção das medidas indispensáveis à regularização das condições para a retomada dos serviços.	24/03/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
139/2023	Contrato para execução de serviços de Pavimentação, Sinalização, Urbanização e Obras da Sabesp com Implantação de obras lineares de rede de esgoto, ligações de ramais, linhas de recalque conduto forçado da Sabesp (material e mão de obra nas Vias do Bairro dos Alvarengas (Pós Imigrantes), nos trechos denominados como Lote- 3. - Infraestrutura Laura (B1), localizado no Município de São Bernardo do Campo - PROSABS/CAF.	Transporte	Ruas: Albatroz, Bem Te Vi, Cardeal, Das Andorinhas, Das Araras , Coimbra, Unidos na Esperança, Avenida João de Barro, Avenida Laura, Avenida Mil e Um, Ademar Saraiva Leão, Águia, Alasca, Alfredo Caputo, Almeida Durão, Amadeu, América do Norte, América do Sul, Antônio Monteiro de Oliveira, Ave do Paraíso, Beira Rio (Rua Seis), Bela Vista (Jd. Nova América), Canadá, Carlos Falletti (passagem Grécia), Casa Nova, Cidade do Coração, Condor , José Daniel de Aguiar, Das Corujas, Das Garças, Das Palmeiras, Do Açude, Dos Canários, Dos Evangélicos, Dos Flamingos, Dos Industriários, Dos Mineiros, Dos Operários, Dos Pedreiros, Ema, Falcão (Jd. João de Barro), Joel Figueiredo Gomes, Madre Maria Inês Tribioli, Mário Alberto Marchi, Neci Eloi Dantas Paulo Guilherme Falletti, Pavão, Pelicano, Planalto, Principal, Ribeiro, Roma, Rouxinol, Sabiá, Santa Cecilia, Sebastião Leme da Silva, Siriema, Sylvio, Tangalaura, Tangarás, Tucano e Rua Um.	R$ 43.611.926,38	Consórcio V2 Pós Imigrantes.	29/09/2023	49%	R$ 21.593.333,22	29/03/2025	Paralisada	Considerando a existência de fatores que impactam diretamente a execução dos serviços, destacamos: * A necessidade de adequações ou requalificação viária, com prazo estimado para a cura do pavimento asfáltico, a fim de viabilizar a posterior execução das sinalizações horizontais da via. * A interferência de serviços de saneamento básico, incluindo as dificuldades na execução da rede de esgoto ao longo das vias e em faixas lindeiras aos imóveis, especialmente quando demandam a realização de serviços manuais em áreas de fundos se imóveis situados em faixas não edificáveis. Desta forma faz-se necessária a suspensão das obras para resguardar o interesse público e viabilizar a adoção das medidas indispensáveis à regularização das condições para a retomada dos serviços.	24/03/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Eduardo Leandro Vertematti		STMI		
140/2023	Contrato para execução de serviços de Pavimentação, Sinalização, Urbanização e Obras da Sabesp com Implantação de obras lineares de rede de esgoto, ligações de ramais, linhas de recalque conduto forçado da Sabesp (material e mão de obra nas Vias do Bairro dos Alvarengas (Pós Imigrantes), nos trechos denominados como Lote- 4. - Infraestrutura Alvarenga (B2), localizado no Município de São Bernardo do Campo - PROSABS/CAF.	Transporte	Ruas: Tenri (R. das Voltas/R. Dom Armando Lombardi), Tie, Albertino Augusto Vieira, Auto Gonsalves de Oliveira (Rua Três - Lixão), Cristiano Carneiro Travi Filho, Francisco Batista de Oliveira, Francisco Beltran Batistini, José Rodrigues de Oliveira - Lixão, Luiz Mariano da Silva, Josesito de Sousa Moura (Rua Um - Lixão), Maria Araújo Maciel (Rua Dois – Lixão), Paulo Lazzuri, Araponga, Araruna, Armando Bertaglia, Aubécio Vieira de Sousa (Rua Quatro - Lixão), Beija Flor (Recanto dos Pássaros), Cinco (Jardim Bela Vista), Cisne, Das Voltas (passagem), Evangelista, Expedito Venceslau da Silva (Rua do Meio), Falcão (Recantos dos Pássaros), Fragata, Francisco Santos, Gaivotas, Harpia Vereador Mário Franciscon, Maurício Galante, Pedro Lazzari (Osvaldo Pilon - GMAPS), Piauí, Quero Quero e São Caetano.	R$ 24.644.991,86	Consórcio SE-Alvarenga.	29/09/2023	61%	R$ 20.326.194,77	29/03/2025	Paralisada	Considerando a existência de fatores que impactam diretamente a execução dos serviços, destacamos: * A necessidade de adequações ou requalificação viária, com prazo estimado para a cura do pavimento asfáltico, a fim de viabilizar a posterior execução das sinalizações horizontais da via. * A interferência de serviços de saneamento básico, incluindo as dificuldades na execução da rede de esgoto ao longo das vias e em faixas lindeiras aos imóveis, especialmente quando demandam a realização de serviços manuais em áreas de fundos se imóveis situados em faixas não edificáveis. Desta forma faz-se necessária a suspensão das obras para resguardar o interesse público e viabilizar a adoção das medidas indispensáveis à regularização das condições para a retomada dos serviços.	24/03/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
141/2023	Contrato para execução de serviços de pavimentação, sinalização, urbanização e obras da sabesp com implantação de obras lineares de rede de esgoto, ligações de ramais, linhas de recalque, conduto forçado da sabesp (material e mão de obra) nas vias do bairro dos Alvarengas (pós Imigrantes), nos trechos denominados como Lote- 5. - Infraestrutura HIS Orquídeas, localizado no município de São Bernardo do Campo - PROSABS/CAF.	Transporte	Jardim Orquídeas, bairro dos Alvarenga.	R$ 38.791.405,68	Terracom Construções Ltda.	15/05/2024	2%	R$ 595.813,08	15/11/2025	Cancelada	A nova gestão está realizando levantamento detalhado e criterioso sobre o status desta e de demais obras sob responsabilidade do ente contratante, a fim de subsidiar eventual tomada de decisão administrativa, observando os princípios da legalidade, eficiência e interesse público.				Não 	Francisco José Carone Garcia	Paulo Roberto Augusto	Termo de Rescisão Amigável em 13/03/2026	STMI		
132/2023	Contrato para execução de terraplanagem com cortes e aterros no complexo do Parque Alvarenga neste Município.	Transporte	Estrada dos Alvarengas - Complexo Parque Alvarenga, bairro dos Alvarenga.	R$ 1.263.343,63	Versátil Engenharia Ltda.	29/09/2023	47%	R$ 595.244,17	29/09/2024	Paralisada	Considerando que o processo de obtenção de autorização para supressão vegetal encontra-se em andamento junto à Companhia Ambiental do Estado de São Paulo (CETESB), não sendo autorizado nenhum tipo de intevenção no local antes da anuência do orgão ambiental licenciador,assim fica paralisada a execução do cronograma físico/financeiro.	27/09/2024		Sem data prevista	Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
197/2023	Contratação de Empresa de Engenharia para execução de Pavimentação (CBUQ) na Estrada do Rio Acima e obras de abastecimento de rede de água através de convênio com a SABESP (material e mão-de-obra) na Região do Pós-Balsa no município de São Bernardo do Campo.	Transporte	Estrada do Rio Acima, região do Pós-Balsa.	R$ 34.701.955,14	Consórcio Rio Acima.	15/01/2024	100%	R$ 13.106.902,28	25/07/2025	Concluída					Não 	Francisco José Carone Garcia	Hédio Fernandes Sanches Junior	Aguardando termo de recebimento definitivo. 	STMI		
39/2024	Execução das obras de conclusão do Corredor Couros.	Transporte	Trecho entre a Avenida Piraporinha até Rodovia Anchieta.	R$ 151.016.952,30	Consórcio VPDA Corredor Couros.	28/02/2024	72%	R$ 108.544.573,73	26/07/2026	Em Andamento					Não 	Francisco José Carone Garcia	Marcelo Cardoso Bonicenha		STMI		
164/2024	Contratação de empresa de engenharia para a execução das Obras de Implantação de Alça de Acesso ao Km 16 da Rodovia Anchieta (SP-150) - Etapa II.	Transporte	Alça de Acesso ao Km 16 da Rodovia Anchieta (SP-150).	R$ 12.993.527,58	Consórcio Nova Alça KM 16.	01/07/2024	25%	R$ 3.210.601,15	01/03/2025	Paralisada	"Considerando a existência de fatores que impactam diretamente a excução dos serviços, destacamos: A ausência de autorizações e liberações junto à ECOVIAS/ARTESP, que impedem o início das atividades na faixa de domínio da Concessionária; O elevado índice de precipitação pluviométrica registrado nos último meses, que comprometeu significativamente o cumprimento do cronograma de serviços nessa área. Desta forma, a suspensão das obras torna-se necessária para resguardar o interesse público e viabilizar as providencias indispensáveis à regularização das condições para a retomada dos seviços."	28/02/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Hédio Fernandes Sanches Junior		STMI		
171/2024	Pavimentação Ruas Locais - Pós Balsa.	Transporte	Pavimentação Ruas Locais - Pós Balsa.	R$ 44.852.612,64	Consórcio Pavimentação Pós-Balsa.	22/07/2024	3%	R$ 1.277.784,77	22/09/2025	Paralisada	Considerando que 03/07/2024, o Município de Sao Bernardo do Campo, por meio do Processo de Contrata nº 781/2023, assinou o Contrato SA.201.1 nº 171/2024. Bem como a Ordem de Serviço nº 01/2024 em 22/07/2024, com o Consórcio Pavimentação Pós - Balsa para execução de pavimentação de ruas e obras da SABESP para implantação de redes de distribuição e ligações de água na regão do Pós-Balsa, por meio do Programa de Recuperação e Ordenamento Sócio Ambiental nos Bairros de São Bernardo do Campo (PROSABS), financiado pelo Banco de Desenvolvimento da América Latina e Caribe (CAF). Através do Convênio nº 013/2022 - PJ, firmado entre a Prefeitura de São Bernardo do Campo e a Companhia de Saneamento Básico do Estado de São Paulo (SABESP), estão previstas pelo PROSABS ações conjuntas para realização de obras viárias e de implantação de rede de distribuição e ligações de água na região do Pós-Balsa, de forma a compatibilizar e sincronizar o cronograma das obras de infraestrutura entre o Município e a Concessionária, evitando retrabalhos, como remendos de pavimento. Ao seguir com as propostas das obras, o Município e a Concessionária se depararam com entraves relacionados a liberação ambiental das áreas de intervenção para implantação da rede de distribuição de água, sendo necessárias diversas ações conjuntas, como abertura de processos de Regularização Fundiária dos assentamentos existentes, revisão de documentação técnica, elaboração de estudos complementares e projetos de esgotamento sanitário para cada assentamento.	17/01/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Hédio Fernandes Sanches Junior		STMI		
196/2024	Execução das obras de novo viário de acesso pela via Anchieta Km 31.	Transporte	Execução das obras de novo viário de acesso pela via Anchieta Km 31.	R$ 10.853.788,54	Consórcio PV - KM 31.	09/09/2024	100%	R$ 8.353.548,72	09/09/2025	Concluída					Não 	Francisco José Carone Garcia	Itamar Felicio de Paiva 	Termo de encerramento definitivo em 09/03/2026.	STMI		
007/2026	Execução integrada para a elaboração dos projetos básico e executivo, à execução integral das obras e à gestão ambiental necessárias à requalificação do Complexo Viário do Paço Municipal de São Bernardo do Campo/SP, no âmbito do programa de infraestrutura urbana de São Bernardo do Campo – Proinfra II/CAF.	Transporte	Requalificação do Complexo Viário do Paço Municipal de São Bernardo do Campo/SP, no âmbito do programa de infraestrutura urbana de São Bernardo do Campo – Proinfra II/CAF.	R$ 230.381.481,60	Consórcio Viário do Paço SBC.	08/01/2026	-	 - 	11/04/2028	Em Andamento					Sim	Francisco José Carone Garcia	Eduardo Leandro Vertematti		STMI		
180/2024	Reforma e Ampliação do campo de futebol (Paulicéia).	Desporto e Lazer	 Rua Pedro de Toledo nº 408 – Vila Paulicéia, SBC.	R$ 3.257.043,25	Vila Ema Construções Ltda.	02/08/2024	100%	R$ 3.233.648,20	10/10/2025	Concluída					Não	Mariana Rodrigues Santos Brizotti	Ivie Ferrari Della Pietra		SESP		
086/2023	Execução de obra para implementação do Complexo de Esportes Aquáticos (Canoagem).	Desporto e Lazer	Rua dos Açores, s/nº , Jardim Estoril -Rio Grande.	R$ 5.407.799,02	Kin Engenharia Ltda.	19/07/2023	100%	R$ 1.978.436,94	22/04/2025	Concluída					Não	Regério Engelmann	Edson Almir Gianelli Angelo Cavalcanti	O saldo do contrato será liquidado no mês de Abril.	SESP		
103/2023	Obra de modernização do Campo de Futebol do Parque Selecta.	Desporto e Lazer	Av. Pedro Mendes, 1060 - Parque Selecta.	R$ 3.718.663,93	Reiscon Construtora e Terraplanagem Ltda.	11/08/2023	100%	R$ 3.474.518,91	28/03/2025	Concluída					Não	Mariana Rodrigues Santos Brizotti	Ellen Cesonis Oliveto		SESP		
10/2025	Reforma e modernização dos Campos Jerusalém e Baeta Neves.	Desporto e Lazer	Rua Santa Dalmolin Demarchi,300,Demarchi - SBC  Av Oséias de Paula Campos,85, Baeta Neves - SBC.	R$ 4.453.137,80	Lisonda Engenharia e Construções Ltda.	31/01/2025	68%	R$ 2.169.654,96	19/05/2026	Em Andamento					Não	Ronald França Ribeiro	Cesar Augusto Rameta Gonçalves Barbosa		SESP		
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
