Nº Contrato	Objeto	Função de Governo	Endereço da Obra (completo) 	"Valor Total Contratado 
(Inicial + Aditivos)"	Nome da(s) Empresa(s) Contratada(s)	"Data de Início da Obra
 (Ordem de Serviço)"	"Nível de Execução Física 
(% de medição) até 31/03/2026"	Valor Total Liquidado até 31/03/2026	Data Prevista para Conclusão	Situação da Obra	Motivo da Paralisação da Obra	"Data da Paralisação
 (Ordem de Paralisação)"	Responsável pela Inexecução da Obra	Data Prevista para o reinício da obra 	"A obra foi licitada sob a égide da Nova Lei de Licitações e Contratos (NLLC) - lei nº 14133/2021? Em caso afirmativo: 
a) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos e os preços unitários e totais contratados até 25 dias úteis após a assinatura  do contrato de obras? (Art. 94 parágrafo 3º);
b) Divulga no Portal Nacional de Contratações Públicas (PNCP) os quantitativos executados e os preços praticados até 45 dias úteis após a conclusão do contrato de obras? (Art.94 parágrafo 3º)."	Gestor do Contrato	Fiscal do Contrato	Observações	Secretaria		
074/2023	Execução de obras do Projeto de Urbanização Integrada Saracantan / Colina - 2º Trecho.	Habitação	Rua Pery Ronchetti.	R$ 21.140.665,81	Construtora Kamilos Ltda	02/06/2023	27%	R$ 5.616.112,70	19/06/2026	Em Andamento					Não	Marcos Paulo Pires do Amaral	Marcos Paulo Pires do Amaral		SEHAB		
122/2023	"Execução de obras de interesse social do ""Projeto de Urbanização Integrada dos Assentamentos Precários Silvina Audi""."	Habitação	Rua Padre Leo Comissari.	R$ 47.218.364,39	HE Engenharia, Comércio e Representações Ltda.	16/01/2024	78%	R$ 32.986.251,55	16/07/2026	Em Andamento					Não	Francisco Javier Oller Blanch	Francisco Javier Oller Blanch		SEHAB		
082/2024	Obras de infraestrutura do conjunto habitacional Vila Esperança - 2ª Etapa - Fase 2.	Habitação	Rua Gardênia.	R$ 9.179.906,68	Teto Construtora S.A.	29/07/2024	44%	R$ 2.264.449,02	29/01/2027	Em Andamento					Não	Antonio Pereira Neto	Antonio Pereira Neto		SEHAB		
015/2018	Implantação do Corredor de ônibus São Pedro.	Transporte	Avenida Jardim, Avenida Dom Pedro de Alcantra até interferência com Projeto da SEHAB/Rua Saracantan, Avenida Luiz Pequini, Rua dos Viannas até Avenida Pereira Barreto.	R$ 58.430.108,89	Consórcio Versatil /DP Barros/SBC.	02/01/2018	100%	R$ 58.378.926,11	28/08/2022	Concluída					Não 	Francisco José Carone Garcia	Itamar Felicio de Paiva 	Termo de recebimento em 15.10.2025	STMI		
016/2020	Implantação do Corredor de ônibus estrada dos Alvarengas.	Transporte	Estrada dos Alvarengas.	R$ 15.884.044,94	Construtora Kamilos Ltda.	30/01/2020	100%	R$ 15.884.044,94	26/01/2022	Concluída					Não 	Francisco José Carone Garcia	Itamar Felicio de Paiva 	Aguardando emissão do Termo de encerramento definitivo, contratada não apresentou as correções solicitadas na obra.	STMI		
019/2021	Descontaminação, pavimentação, drenagem e coleta de esgoto - Jardim das Oliveiras.	Transporte	Jardim das Oliveiras I, II e III, Jardim Diana e Jardim Nova Patente.	R$ 52.442.424,61	Consórcio Descontaminação Jardim Oliveiras, Diana e Nova Patente.	04/05/2021	95%	R$ 51.038.807,96	15/03/2026	Paralisada	Considerando a necessidade da revisão do cronograma fisico-financeiro e do sequenciamento das frentes de serviço, com vistas a otimizar a execução das etapas restantes e compatibilizá-las com os condicionantes técnicas já conhecidos, deliberamos pela paralisação tempóraria da execução contatual. A paralisação vigorará até ulterior determinação desta Secretaria, preservando-se o direito à retomada das atividades contratadas em momento oportuno, quando será comunicada a retomada dos serviços, após concluída a revisão do cronograma mencionado.	27/11/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
027/2022	Execução de obras remanescentes corredor urbano leste-oeste.	Transporte	Estrada Samuel Aizemberg - Bairro Alves Dias.	R$ 54.618.872,92	Construtora Kamilos Ltda.	04/01/2022	100%	R$ 50.963.083,95	11/10/2024	Concluída					Não 	Francisco José Carone Garcia	Paulo Roberto Augusto	Aguardando recebimento definitivo.	STMI		
076/2022	Execução das obras de implantação da alça de acesso ao KM 16 da rodovia Anchieta (SP-150) Etapa 1.	Transporte	Rodovia Anchieta, KM 16 (SP-150) Etapa 1.	R$ 6.888.962,05	Versátil Engenharia Ltda.	06/02/2022	100%	R$ 5.008.474,16	09/04/2025	Concluída					Não 	Francisco José Carone Garcia	Leonardo Sueiro Pinto Vasques/ Itamar Felicio de Paiva	Aguardando a empresa apresentar o As built.	STMI		
020/2023	Pavimentação da Estrada Poney Club e Obras da SABESP.	Transporte	Estrada Poney Club.	R$ 14.724.023,68	Construtora Kamilos Ltda.	01/03/2023	59%	R$ 9.194.936,87	15/12/2024	Paralisada	Considerando os atrasos por parte do Poder Judiciário, em proceder as desapropriações necessárias para execução da obra para Execução do Alargamento e Pavimentação da Estrada Poney Club e obras da SABESP, fica paralisado a execução do cronograma físico/financeiro do Contrato nº 020/2023 a partir desta data.	30/08/2024		Sem data prevista	Não 	Francisco José Carone Garcia	Itamar Felicio de Paiva 		STMI		
049/2023	Implantação do binário na rua Santa Martins, prolongamento da estrada do Poney Club até a rotatória de acesso à rodovia SP - 160 - KM 25.	Transporte	Binário na rua Santa Martins, prolongamento da estrada do Poney Club até a rotatória de acesso à rodovia SP - 160 - KM.	R$ 19.166.055,92	Paulista Obras e Pavimentação Ltda.	31/03/2023	91%	R$ 18.195.992,29	22/06/2025	Paralisada	Em função de obstáculos que impedem o prosseguimento regular da execução das obras previstas no contrato em questão, informamos a necessidade de suspensão temporária da execução dos serviços bem como do cronograma físico-financeiro, com base nas seguintes razões: 1.A não liberação das áreas necessárias para a execução do binário da Rua Santa Martins, incluindo a conexão do novo viário à Estrada do Poney Club, situação que se agrava pelos atrasos na resolução das pendências relacionadas ao processo de desapropriação dessas áreas. 2.O atraso por parte da SPMar (concessionária do Rodoanel Mário Covas, abrangendo os trechos Sul e Leste) na liberação das áreas de sua competência para a execução do prolongamento da Rua Santa Martins, necessário para seu encaixe na rotatória situada na faixa de domínio da rodovia administrada pela concessionária. Diante dessas dificuldades, solicitamos à contratada a suspensão imediata das atividades, bem como o ajuste do cronograma até que todas as pendências sejam sanadas, de modo a assegurar a viabilidade e continuidade do projeto sem prejuízos.	07/03/2025		Sem data prevista	Não 	Francisco José Carone Garcia	Paulo Roberto Augusto		STMI		
